Title,Authors,Presentation,Paper_URL
Enhance Contextual Learning in ASR for Endangered Low-resource Languages,"Zhaolin Li, Jan Niehues",Poster,https://openreview.net/forum?id=XP6pHO8Fgq
Empowering Low-Resource Languages: TraSe Architecture for Enhanced Retrieval-Augmented Generation in Bangla,"Atia Shahnaz Ipa, Mohammad Abu Tareq Rony, Mohammad Shariful Islam",Poster,https://openreview.net/forum?id=id3UhNnjUy
ABDUL: a new Approach to Build language models for Dialects Using formal Language corpora only,"Yassine Toughrai, Kamel Smaïli, David Langlois",Oral,https://openreview.net/forum?id=gdjnYisJPt
"Untangling the Influence of Typology, Data and Model Architecture on Ranking Transfer Languages for Cross-Lingual POS Tagging","Enora Rice, Ali Marashian, Hannah J. Haynie, Katharina von der Wense, Alexis Palmer",Oral,https://openreview.net/forum?id=zO9hlsY0u7
"Serving the Underserved: Leveraging BARTBahnar Language Model for Bahnaric-Vietnamese Translation","Long Nguyen, Tran Le, Huong Nguyen, Quynh Vo, Phong Nguyen, Tho Quan",Poster,https://openreview.net/forum?id=amROA99fDi
Caption generation in Cultural Heritage: Crowdsourced Data and Tuning Multimodal Large Language Models,"Artem Reshetnikov, Maria-Cristina Marinescu",Oral,https://openreview.net/forum?id=mgXhr1g5Ix
Preserving Cultural Identity with Context-Aware Translation Through Multi-Agent AI Systems,"Mahfuz Ahmed Anik, Abdur Rahman, Azmine Toushik Wasi, Md Manjurul Ahsan",Oral,https://openreview.net/forum?id=RiCfefEHII
Enhancing Small Language Models for Cross-Lingual Generalized Zero-Shot Classification with Soft Prompt Tuning,"Fred Philippy, Siwen Guo, Cedric Lothritz, Jacques Klein, Tegawendé F. Bissyandé",Oral,https://openreview.net/forum?id=UMgFOnrzNv
Cognate and Contact-Induced Transfer Learning for Hamshentsnag: A Low-Resource and Endangered Language,"Onur Keleş, Baran Günay, Berat Doğan",Oral,https://openreview.net/forum?id=RgYu1wz2lY
PALbot+: An Empathetic Dialogue System for the Marginalized Populations in Korea with AI Safety Features,"Suyeon Lee, Hye Jin Lee, Hyunjong Kim, Sohhyung Park, Sungzoon Cho",Poster,https://openreview.net/forum?id=maDgZsnQGO
Nayana OCR: A Scalable Framework for Document OCR in Low-Resource Languages,"Adithya S Kolavi, Vyoman Jain, Samarth P",Poster,https://openreview.net/forum?id=uaQR3BgHrV
"On Tables with Numbers, with Numbers","Konstantinos Kogkalidis, Stergios Chatzikyriakidis",Oral,https://openreview.net/forum?id=ln16xkz4Hh
Direct Preference Optimization With Unobserved Preference Heterogeneity,"Keertana Chidambaram, Karthik Vinay Seetharaman, Vasilis Syrgkanis",Oral,https://openreview.net/forum?id=0gsku2PMmK
La Leaderboard: A Large Language Model Leaderboard for Spanish Varieties and Languages of Spain and Latin America,"María Grandury, Javier Aula-Blasco, Júlia Falcão, et al.",Poster,https://openreview.net/forum?id=Pvg9CMgIES